,Unnamed: 0,filename,prompt,evaluation_seed
0,0,o_A-portrait-of-Anne-Hathaway-and-Aaron-Paul_4_0.jpg,A portrait of Anne Hathaway and Aaron Paul,4
1,1,o_A-portrait-of-Anne-Hathaway-and-Barry-Manilow_1_0.jpg,A portrait of Anne Hathaway and Barry Manilow,1
2,2,o_A-portrait-of-Anne-Hathaway-and-Ben-Affleck_2_0.jpg,A portrait of Anne Hathaway and Ben Affleck,2
3,3,o_A-portrait-of-Anne-Hathaway-and-Ben-Affleck_3_0.jpg,A portrait of Anne Hathaway and Ben Affleck,3
4,4,o_A-portrait-of-Anne-Hathaway-and-Ben-Stiller_3_0.jpg,A portrait of Anne Hathaway and Ben Stiller,3
5,5,o_A-portrait-of-Anne-Hathaway-and-Benicio-Del-Toro_0_0.jpg,A portrait of Anne Hathaway and Benicio Del Toro,0
6,6,o_A-portrait-of-Anne-Hathaway-and-Benicio-Del-Toro_4_0.jpg,A portrait of Anne Hathaway and Benicio Del Toro,4
7,7,o_A-portrait-of-Anne-Hathaway-and-Bill-Murray_0_0.jpg,A portrait of Anne Hathaway and Bill Murray,0
8,8,o_A-portrait-of-Anne-Hathaway-and-Bill-Murray_3_0.jpg,A portrait of Anne Hathaway and Bill Murray,3
9,9,o_A-portrait-of-Anne-Hathaway-and-Bill-Nye_3_0.jpg,A portrait of Anne Hathaway and Bill Nye,3
10,10,o_A-portrait-of-Anne-Hathaway-and-Bruce-Lee_0_0.jpg,A portrait of Anne Hathaway and Bruce Lee,0
11,11,o_A-portrait-of-Anne-Hathaway-and-David-Bowie_1_0.jpg,A portrait of Anne Hathaway and David Bowie,1
12,12,o_A-portrait-of-Anne-Hathaway-and-David-Bowie_2_0.jpg,A portrait of Anne Hathaway and David Bowie,2
13,13,o_A-portrait-of-Anne-Hathaway-and-George-Bush_3_0.jpg,A portrait of Anne Hathaway and George Bush,3
14,14,o_A-portrait-of-Anne-Hathaway-and-George-Takei_0_0.jpg,A portrait of Anne Hathaway and George Takei,0
15,15,o_A-portrait-of-Anne-Hathaway-and-George-Takei_1_0.jpg,A portrait of Anne Hathaway and George Takei,1
16,16,o_A-portrait-of-Anne-Hathaway-and-George-Takei_2_0.jpg,A portrait of Anne Hathaway and George Takei,2
17,17,o_A-portrait-of-Anne-Hathaway-and-George-Takei_3_0.jpg,A portrait of Anne Hathaway and George Takei,3
18,18,o_A-portrait-of-Anne-Hathaway-and-Halle-Berry_2_0.jpg,A portrait of Anne Hathaway and Halle Berry,2
19,19,o_A-portrait-of-Anne-Hathaway-and-Heath-Ledger_0_0.jpg,A portrait of Anne Hathaway and Heath Ledger,0
20,20,o_A-portrait-of-Anne-Hathaway-and-Henry-Cavill_3_0.jpg,A portrait of Anne Hathaway and Henry Cavill,3
21,21,o_A-portrait-of-Anne-Hathaway-and-Jackie-Chan_4_0.jpg,A portrait of Anne Hathaway and Jackie Chan,4
22,22,o_A-portrait-of-Anne-Hathaway-and-James-Garner_0_0.jpg,A portrait of Anne Hathaway and James Garner,0
23,23,o_A-portrait-of-Anne-Hathaway-and-James-Garner_1_0.jpg,A portrait of Anne Hathaway and James Garner,1
24,24,o_A-portrait-of-Anne-Hathaway-and-James-Garner_3_0.jpg,A portrait of Anne Hathaway and James Garner,3
25,25,o_A-portrait-of-Anne-Hathaway-and-James-Garner_4_0.jpg,A portrait of Anne Hathaway and James Garner,4
26,26,o_A-portrait-of-Anne-Hathaway-and-Jason-Statham_1_0.jpg,A portrait of Anne Hathaway and Jason Statham,1
27,27,o_A-portrait-of-Anne-Hathaway-and-Jeff-Bridges_2_0.jpg,A portrait of Anne Hathaway and Jeff Bridges,2
28,28,o_A-portrait-of-Anne-Hathaway-and-Jeff-Bridges_3_0.jpg,A portrait of Anne Hathaway and Jeff Bridges,3
29,29,o_A-portrait-of-Anne-Hathaway-and-Jeff-Bridges_4_0.jpg,A portrait of Anne Hathaway and Jeff Bridges,4
30,30,o_A-portrait-of-Anne-Hathaway-and-John-Lennon_3_0.jpg,A portrait of Anne Hathaway and John Lennon,3
31,31,o_A-portrait-of-Anne-Hathaway-and-Keanu-Reeves_0_0.jpg,A portrait of Anne Hathaway and Keanu Reeves,0
32,32,o_A-portrait-of-Anne-Hathaway-and-Keanu-Reeves_1_0.jpg,A portrait of Anne Hathaway and Keanu Reeves,1
33,33,o_A-portrait-of-Anne-Hathaway-and-Keanu-Reeves_2_0.jpg,A portrait of Anne Hathaway and Keanu Reeves,2
34,34,o_A-portrait-of-Anne-Hathaway-and-Keanu-Reeves_3_0.jpg,A portrait of Anne Hathaway and Keanu Reeves,3
35,35,o_A-portrait-of-Anne-Hathaway-and-Keanu-Reeves_4_0.jpg,A portrait of Anne Hathaway and Keanu Reeves,4
36,36,o_A-portrait-of-Anne-Hathaway-and-Kim-Jong-Un_1_0.jpg,A portrait of Anne Hathaway and Kim Jong Un,1
37,37,o_A-portrait-of-Anne-Hathaway-and-Matt-Damon_0_0.jpg,A portrait of Anne Hathaway and Matt Damon,0
38,38,o_A-portrait-of-Anne-Hathaway-and-Matt-Damon_1_0.jpg,A portrait of Anne Hathaway and Matt Damon,1
39,39,o_A-portrait-of-Anne-Hathaway-and-Matt-Damon_4_0.jpg,A portrait of Anne Hathaway and Matt Damon,4
40,40,o_A-portrait-of-Anne-Hathaway-and-Matthew-Mcconaughey_0_0.jpg,A portrait of Anne Hathaway and Matthew Mcconaughey,0
41,41,o_A-portrait-of-Anne-Hathaway-and-Matthew-Mcconaughey_1_0.jpg,A portrait of Anne Hathaway and Matthew Mcconaughey,1
42,42,o_A-portrait-of-Anne-Hathaway-and-Matthew-Mcconaughey_2_0.jpg,A portrait of Anne Hathaway and Matthew Mcconaughey,2
43,43,o_A-portrait-of-Anne-Hathaway-and-Matthew-Mcconaughey_3_0.jpg,A portrait of Anne Hathaway and Matthew Mcconaughey,3
44,44,o_A-portrait-of-Anne-Hathaway-and-Mel-Gibson_1_0.jpg,A portrait of Anne Hathaway and Mel Gibson,1
45,45,o_A-portrait-of-Anne-Hathaway-and-Mel-Gibson_3_0.jpg,A portrait of Anne Hathaway and Mel Gibson,3
46,46,o_A-portrait-of-Anne-Hathaway-and-Mel-Gibson_4_0.jpg,A portrait of Anne Hathaway and Mel Gibson,4
47,47,o_A-portrait-of-Anne-Hathaway-and-Michael-Ealy_0_0.jpg,A portrait of Anne Hathaway and Michael Ealy,0
48,48,o_A-portrait-of-Anne-Hathaway-and-Michael-Ealy_3_0.jpg,A portrait of Anne Hathaway and Michael Ealy,3
49,49,o_A-portrait-of-Anne-Hathaway-and-Neil-Degrasse-Tyson_3_0.jpg,A portrait of Anne Hathaway and Neil Degrasse Tyson,3
50,50,o_A-portrait-of-Anne-Hathaway-and-Paul-Rudd_1_0.jpg,A portrait of Anne Hathaway and Paul Rudd,1
51,51,o_A-portrait-of-Anne-Hathaway-and-Paul-Rudd_3_0.jpg,A portrait of Anne Hathaway and Paul Rudd,3
52,52,o_A-portrait-of-Anne-Hathaway-and-Pierce-Brosnan_0_0.jpg,A portrait of Anne Hathaway and Pierce Brosnan,0
53,53,o_A-portrait-of-Anne-Hathaway-and-Pierce-Brosnan_1_0.jpg,A portrait of Anne Hathaway and Pierce Brosnan,1
54,54,o_A-portrait-of-Anne-Hathaway-and-Pierce-Brosnan_3_0.jpg,A portrait of Anne Hathaway and Pierce Brosnan,3
55,55,o_A-portrait-of-Anne-Hathaway-and-Pierce-Brosnan_4_0.jpg,A portrait of Anne Hathaway and Pierce Brosnan,4
56,56,o_A-portrait-of-Anne-Hathaway-and-Robert-De-Niro_0_0.jpg,A portrait of Anne Hathaway and Robert De Niro,0
57,57,o_An-image-capturing-Anne-Hathaway-and-Barry-Manilow-at-a-public-event_3_0.jpg,An image capturing Anne Hathaway and Barry Manilow at a public event,3
58,58,o_An-image-capturing-Anne-Hathaway-and-Ben-Affleck-at-a-public-event_3_0.jpg,An image capturing Anne Hathaway and Ben Affleck at a public event,3
