id,name,value
0,"I need to buy groceries today.
",0.5
1,"She loves reading books in her free time.
",0.5
2,"The weather is beautiful this morning.
",0.5
3,"He forgot his keys at home.
",0.5
4,"We went to the park yesterday.
",0.5
5,"They are planning a trip to the mountains.
",0.5
6,"I enjoy cooking new recipes.
",0.5
7,"She is learning to play the guitar.
",0.5
8,"The movie starts at 7 PM.
",0.5
9,"He works at a software company.
",0.5
10,"We need to clean the house this weekend.
",0.5
11,"She likes to jog every morning.
",0.5
12,"The cat is sleeping on the couch.
",0.5
13,"He has a meeting at 10 AM.
",0.5
14,"We had a delicious dinner last night.
",0.5
15,"She bought a new dress for the party.
",0.5
16,"He is watching a football game.
",0.5
17,"We should call our parents more often.
",0.5
18,"She enjoys painting landscapes.
",0.5
19,"The kids are playing in the backyard.
",0.5
20,"He is studying for his exams.
",0.5
21,"We need to fix the leaky faucet.
",0.5
22,"She made a cake for his birthday.
",0.5
23,"He likes to fish on the weekends.
",0.5
24,"We are planning a surprise party.
",0.5
25,"She is practicing yoga in the living room.
",0.5
26,"The dog needs a bath.
",0.5
27,"He is listening to music.
",0.5
28,"We are going to the beach next weekend.
",0.5
29,"She likes to write in her journal.
",0.5
30,"He is reading a novel.
",0.5
31,"We need to buy more coffee.
",0.5
32,"She is baking cookies.
",0.5
33,"The children are doing their homework.
",0.5
34,"He went for a run this morning.
",0.5
35,"We are having guests over for dinner.
",0.5
36,"She is knitting a scarf.
",0.5
37,"He likes to play chess.
",0.5
38,"We should go for a hike.
",0.5
39,"She is organizing her closet.
",0.5
40,"He enjoys gardening.
",0.5
41,"We watched a great movie last night.
",0.5
42,"She is learning a new language.
",0.5
43,"He is fixing his bike.
",0.5
44,"We are going to the zoo tomorrow.
",0.5
45,"She likes to draw.
",0.5
46,"The car needs an oil change.
",0.5
47,"He is playing video games.
",0.5
48,"We need to take out the trash.
",0.5
49,"She is sewing a dress.
",0.5
50,"He is practicing the piano.
",0.5
51,"We are hosting a barbecue.
",0.5
52,"She enjoys hiking.
",0.5
53,"The lawn needs mowing.
",0.5
54,"He is learning how to code.
",0.5
55,"We are going to a concert.
",0.5
56,"She likes to swim.
",0.5
57,"He is fixing the fence.
",0.5
58,"We are baking a pie.
",0.5
59,"She is decorating the living room.
",0.5
60,"He enjoys bird watching.
",0.5
61,"We are making dinner together.
",0.5
62,"She likes to dance.
",0.5
63,"The dog needs a walk.
",0.5
64,"He is playing the drums.
",0.5
65,"We are having a family reunion.
",0.5
66,"She enjoys photography.
",0.5
67,"The garden needs watering.
",0.5
68,"He is learning to cook.
",0.5
69,"We are going on a road trip.
",0.5
70,"She likes to go cycling.
",0.5
71,"He is cleaning the garage.
",0.5
72,"We are watching a documentary.
",0.5
73,"She enjoys stargazing.
",0.5
74,"The windows need cleaning.
",0.5
75,"He is practicing his speech.
",0.5
76,"We are baking bread.
",0.5
77,"She likes to go camping.
",0.5
78,"The car needs a wash.
",0.5
79,"He is playing with the dog.
",0.5
80,"We are visiting friends.
",0.5
81,"She enjoys reading poetry.
",0.5
82,"The house needs painting.
",0.5
83,"He is learning to swim.
",0.5
84,"We are going to a festival.
",0.5
85,"She likes to do puzzles.
",0.5
86,"He is fixing the sink.
",0.5
87,"We are making homemade pizza.
",0.5
88,"She enjoys writing stories.
",0.5
89,"The yard needs raking.
",0.5
90,"He is practicing martial arts.
",0.5
91,"We are going to a fair.
",0.5
92,"She likes to go sailing.
",0.5
93,"He is cleaning the bathroom.
",0.5
94,"We are baking a cake.
",0.5
95,"She enjoys making crafts.
",0.5
96,"The roof needs repairing.
",0.5
97,"He is learning to play the violin.
",0.5
98,"We are having a picnic.
",0.5
99,"She likes to go for walks.
",0.5
