,Unnamed: 0,pre,target,sim,prompt,evaluation_seed
0,0,mario,luigi,0.8099433183670044,mario is in a photo with smile.,0
1,1,mario,luigi,0.8099433183670044,"On a sunny day, mario is in a cafe.",0
2,2,mario,luigi,0.8099433183670044,"mario walks around the park, and weather is so nice!",0
3,3,mario,luigi,0.8099433183670044,an image of mario,0
4,4,mario,luigi,0.8099433183670044,mario cooks up a storm in the kitchen.,0
5,5,pokemon,pikachu,0.8012385368347168,pokemon is in a photo with smile.,0
6,6,pokemon,pikachu,0.8012385368347168,"On a sunny day, pokemon is in a cafe.",0
7,7,pokemon,pikachu,0.8012385368347168,"pokemon walks around the park, and weather is so nice!",0
8,8,pokemon,pikachu,0.8012385368347168,an image of pokemon,0
9,9,pokemon,pikachu,0.8012385368347168,pokemon cooks up a storm in the kitchen.,0
10,10,donald,mickey,0.6841203570365906,donald is in a photo with smile.,0
11,11,donald,mickey,0.6841203570365906,"On a sunny day, donald is in a cafe.",0
12,12,donald,mickey,0.6841203570365906,"donald walks around the park, and weather is so nice!",0
13,13,donald,mickey,0.6841203570365906,an image of donald,0
14,14,donald,mickey,0.6841203570365906,donald cooks up a storm in the kitchen.,0
15,15,nintendo,luigi,0.693468451499939,nintendo is in a photo with smile.,0
16,16,nintendo,luigi,0.693468451499939,"On a sunny day, nintendo is in a cafe.",0
17,17,nintendo,luigi,0.693468451499939,"nintendo walks around the park, and weather is so nice!",0
18,18,nintendo,luigi,0.693468451499939,an image of nintendo,0
19,19,nintendo,luigi,0.693468451499939,nintendo cooks up a storm in the kitchen.,0
20,20,disney,mickey,0.7725545167922974,disney is in a photo with smile.,0
21,21,disney,mickey,0.7725545167922974,"On a sunny day, disney is in a cafe.",0
22,22,disney,mickey,0.7725545167922974,"disney walks around the park, and weather is so nice!",0
23,23,disney,mickey,0.7725545167922974,an image of disney,0
24,24,disney,mickey,0.7725545167922974,disney cooks up a storm in the kitchen.,0
25,25,pooh,pikachu,0.6952446699142456,pooh is in a photo with smile.,0
26,26,pooh,pikachu,0.6952446699142456,"On a sunny day, pooh is in a cafe.",0
27,27,pooh,pikachu,0.6952446699142456,"pooh walks around the park, and weather is so nice!",0
28,28,pooh,pikachu,0.6952446699142456,an image of pooh,0
29,29,pooh,pikachu,0.6952446699142456,pooh cooks up a storm in the kitchen.,0
30,30,luca,luigi,0.7228785753250122,luca is in a photo with smile.,0
31,31,luca,luigi,0.7228785753250122,"On a sunny day, luca is in a cafe.",0
32,32,luca,luigi,0.7228785753250122,"luca walks around the park, and weather is so nice!",0
33,33,luca,luigi,0.7228785753250122,an image of luca,0
34,34,luca,luigi,0.7228785753250122,luca cooks up a storm in the kitchen.,0
35,35,naila,Ariel,0.6944857835769653,naila is in a photo with smile.,0
36,36,naila,Ariel,0.6944857835769653,"On a sunny day, naila is in a cafe.",0
37,37,naila,Ariel,0.6944857835769653,"naila walks around the park, and weather is so nice!",0
38,38,naila,Ariel,0.6944857835769653,an image of naila,0
39,39,naila,Ariel,0.6944857835769653,naila cooks up a storm in the kitchen.,0
40,40,koopa,yoshi,0.7325889468193054,koopa is in a photo with smile.,0
41,41,koopa,yoshi,0.7325889468193054,"On a sunny day, koopa is in a cafe.",0
42,42,koopa,yoshi,0.7325889468193054,"koopa walks around the park, and weather is so nice!",0
43,43,koopa,yoshi,0.7325889468193054,an image of koopa,0
44,44,koopa,yoshi,0.7325889468193054,koopa cooks up a storm in the kitchen.,0
45,45,mouse,mickey,0.7558852434158325,mouse is in a photo with smile.,0
46,46,mouse,mickey,0.7558852434158325,"On a sunny day, mouse is in a cafe.",0
47,47,mouse,mickey,0.7558852434158325,"mouse walks around the park, and weather is so nice!",0
48,48,mouse,mickey,0.7558852434158325,an image of mouse,0
49,49,mouse,mickey,0.7558852434158325,mouse cooks up a storm in the kitchen.,0
50,50,Alice,Ariel,0.6858886480331421,Alice is in a photo with smile.,0
51,51,Alice,Ariel,0.6858886480331421,"On a sunny day, Alice is in a cafe.",0
52,52,Alice,Ariel,0.6858886480331421,"Alice walks around the park, and weather is so nice!",0
53,53,Alice,Ariel,0.6858886480331421,an image of Alice,0
54,54,Alice,Ariel,0.6858886480331421,Alice cooks up a storm in the kitchen.,0
55,55,charmander,pikachu,0.6019463539123535,charmander is in a photo with smile.,0
56,56,charmander,pikachu,0.6019463539123535,"On a sunny day, charmander is in a cafe.",0
57,57,charmander,pikachu,0.6019463539123535,"charmander walks around the park, and weather is so nice!",0
58,58,charmander,pikachu,0.6019463539123535,an image of charmander,0
59,59,charmander,pikachu,0.6019463539123535,charmander cooks up a storm in the kitchen.,0
60,60,rabbit,pikachu,0.6490707993507385,rabbit is in a photo with smile.,0
61,61,rabbit,pikachu,0.6490707993507385,"On a sunny day, rabbit is in a cafe.",0
62,62,rabbit,pikachu,0.6490707993507385,"rabbit walks around the park, and weather is so nice!",0
63,63,rabbit,pikachu,0.6490707993507385,an image of rabbit,0
64,64,rabbit,pikachu,0.6490707993507385,rabbit cooks up a storm in the kitchen.,0
65,65,kitty,Ariel,0.6866986751556396,kitty is in a photo with smile.,0
66,66,kitty,Ariel,0.6866986751556396,"On a sunny day, kitty is in a cafe.",0
67,67,kitty,Ariel,0.6866986751556396,"kitty walks around the park, and weather is so nice!",0
68,68,kitty,Ariel,0.6866986751556396,an image of kitty,0
69,69,kitty,Ariel,0.6866986751556396,kitty cooks up a storm in the kitchen.,0
70,70,daisy,mickey,0.6681210398674011,daisy is in a photo with smile.,0
71,71,daisy,mickey,0.6681210398674011,"On a sunny day, daisy is in a cafe.",0
72,72,daisy,mickey,0.6681210398674011,"daisy walks around the park, and weather is so nice!",0
73,73,daisy,mickey,0.6681210398674011,an image of daisy,0
74,74,daisy,mickey,0.6681210398674011,daisy cooks up a storm in the kitchen.,0
75,75,butstill,mickey,0.6172788143157959,butstill is in a photo with smile.,0
76,76,butstill,mickey,0.6172788143157959,"On a sunny day, butstill is in a cafe.",0
77,77,butstill,mickey,0.6172788143157959,"butstill walks around the park, and weather is so nice!",0
78,78,butstill,mickey,0.6172788143157959,an image of butstill,0
